학생,대하,기대감,왜,그렇게,높,것,마음,알,들,예정,없,시험,치,학점,F,폭격,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지금,기억나,것,참,많,얻,가,것,많,불만,안,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강의,재미있,시험,생각,쉽,나오,요,공부,만,하,고학,점,가능,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
밑,보,나,재미있,싶,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강의,준비,완벽,하,하,오,불편,하,것,하나,없이,강의,내용,나,도움,많이,되,대학,오,3,년,동안,듣,강의,중,가장,듣,만,하,강의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가장,좋,것,교수,님,학생,들,의견,대하,어느,정도,피드백,하,일방적,교수,님,관점,주입,하,하,무슨,의견,틀리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대학,얼마,못,듣,도움,되,강의,중,하나,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
재미있,강의,다,참여,하,방식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
온라인,매주,늦,않,강의,잘,올리,주,내용,설명도,충분히,하,주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과목,숙제,많,않,부담,되,과목,아니,시간,아깝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
숙제,대하,시간,더,주,좋,생각,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
